"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Room_Companycustomer.xlsx","查询可用的会议服务","0","0","1","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","导出在线的授权用户","0","0","1","0","0"
"","department_Companycustomer.xlsx","企业客户-查询部门","0","0","1","0","0"
"","user_Companycustomer.xlsx","企业信息查询","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","zzboss_会议模板权限ice.xlsx","companyService","0","0","0","1","0"
"","Room_Trialcustomer.xlsx","个人客户-个人会议室查询","0","0","1","0","0"
"","Room_Companycustomer.xlsx","邀请码刷新","0","0","1","0","0"
"","user_Companycustomer.xlsx","修改企业信息-未实现","0","0","0","2","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","PrepareSql","0","0","0","3","0"
"","department_Companycustomer.xlsx","企业客户-删除部门","0","0","1","0","0"
"","Room_Companycustomer.xlsx","企业会议删除","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","获取终端信息","0","0","1","0","0"
